milliseconds (ms),raw_median,ema_raw,index,status,cal-Loaded,clear_raw,cloudy_raw
4783,6,5,100,TURBID,0,0,0
5228,6,6,100,TURBID,0,0,0
5673,6,6,100,TURBID,0,0,0
6118,5,5,100,TURBID,0,0,0
6563,5,5,100,TURBID,0,0,0
7008,7,6,100,TURBID,0,0,0
7453,5,6,100,TURBID,0,0,0
7898,7,6,100,TURBID,0,0,0
8343,7,6,100,TURBID,0,0,0
8788,9,7,100,TURBID,0,0,0
9233,7,7,100,TURBID,0,0,0
9678,6,7,100,TURBID,0,0,0
10123,5,6,100,TURBID,0,0,0
10568,6,6,100,TURBID,0,0,0
11013,7,6,100,TURBID,0,0,0
11458,5,6,100,TURBID,0,0,0
11903,6,6,100,TURBID,0,0,0
12348,6,6,100,TURBID,0,0,0
12793,5,6,100,TURBID,0,0,0
13238,6,6,100,TURBID,0,0,0
13683,6,6,100,TURBID,0,0,0
14128,5,6,100,TURBID,0,0,0
14573,6,6,100,TURBID,0,0,0
15018,5,6,100,TURBID,0,0,0
15463,6,6,100,TURBID,0,0,0
15908,6,6,100,TURBID,0,0,0
16353,6,6,100,TURBID,0,0,0
16798,7,6,100,TURBID,0,0,0
17243,6,6,100,TURBID,0,0,0
17688,7,6,100,TURBID,0,0,0
18133,8,7,100,TURBID,0,0,0
18578,6,6,100,TURBID,0,0,0
19023,6,6,100,TURBID,0,0,0
19468,7,6,100,TURBID,0,0,0
19913,8,7,100,TURBID,0,0,0
20358,7,7,100,TURBID,0,0,0
20803,7,7,100,TURBID,0,0,0
21248,6,7,100,TURBID,0,0,0
21693,7,7,100,TURBID,0,0,0
22138,6,7,100,TURBID,0,0,0
22583,6,6,100,TURBID,0,0,0
23028,6,6,100,TURBID,0,0,0
23473,8,7,100,TURBID,0,0,0
23918,8,7,100,TURBID,0,0,0
24363,6,7,100,TURBID,0,0,0
24808,7,7,100,TURBID,0,0,0
25253,7,7,100,TURBID,0,0,0
25698,7,7,100,TURBID,0,0,0
26143,6,7,100,TURBID,0,0,0
26588,6,7,100,TURBID,0,0,0
27033,7,7,100,TURBID,0,0,0
27478,7,7,100,TURBID,0,0,0
27923,6,7,100,TURBID,0,0,0
28368,7,7,100,TURBID,0,0,0
28813,6,7,100,TURBID,0,0,0
29258,5,6,100,TURBID,0,0,0
29703,7,6,100,TURBID,0,0,0
30148,7,7,100,TURBID,0,0,0
30593,8,7,100,TURBID,0,0,0
31038,7,7,100,TURBID,0,0,0
31483,6,7,100,TURBID,0,0,0
31928,6,7,100,TURBID,0,0,0
32373,7,7,100,TURBID,0,0,0
32818,7,7,100,TURBID,0,0,0
33263,7,7,100,TURBID,0,0,0
33708,6,7,100,TURBID,0,0,0
34153,6,6,100,TURBID,0,0,0
34598,8,7,100,TURBID,0,0,0
35043,7,7,100,TURBID,0,0,0
35488,5,6,100,TURBID,0,0,0
35933,6,6,100,TURBID,0,0,0
36378,7,6,100,TURBID,0,0,0
36823,6,6,100,TURBID,0,0,0
37268,6,6,100,TURBID,0,0,0
37713,7,6,100,TURBID,0,0,0
38158,7,7,100,TURBID,0,0,0
38603,6,6,100,TURBID,0,0,0
39048,7,7,100,TURBID,0,0,0
39493,7,7,100,TURBID,0,0,0
39938,7,7,100,TURBID,0,0,0
40383,6,7,100,TURBID,0,0,0
40828,6,6,100,TURBID,0,0,0
41273,7,7,100,TURBID,0,0,0
41718,5,6,100,TURBID,0,0,0
42163,7,6,100,TURBID,0,0,0
42608,6,6,100,TURBID,0,0,0
43053,8,7,100,TURBID,0,0,0
43498,6,7,100,TURBID,0,0,0
43943,6,6,100,TURBID,0,0,0
44388,7,7,100,TURBID,0,0,0
44833,6,6,100,TURBID,0,0,0
45278,6,6,100,TURBID,0,0,0
45723,7,6,100,TURBID,0,0,0
46168,6,6,100,TURBID,0,0,0
46613,6,6,100,TURBID,0,0,0
47058,7,6,100,TURBID,0,0,0
47503,5,6,100,TURBID,0,0,0
47948,6,6,100,TURBID,0,0,0
48393,6,6,100,TURBID,0,0,0
48838,6,6,100,TURBID,0,0,0
49283,7,6,100,TURBID,0,0,0
49728,6,6,100,TURBID,0,0,0
50173,6,6,100,TURBID,0,0,0
50618,7,6,100,TURBID,0,0,0
51063,7,6,100,TURBID,0,0,0
51508,5,6,100,TURBID,0,0,0
51953,6,6,100,TURBID,0,0,0
52398,6,6,100,TURBID,0,0,0
52843,6,6,100,TURBID,0,0,0
53288,6,6,100,TURBID,0,0,0
53733,6,6,100,TURBID,0,0,0
54178,8,6,100,TURBID,0,0,0
54623,7,7,100,TURBID,0,0,0
55068,7,7,100,TURBID,0,0,0
55513,6,7,100,TURBID,0,0,0
55958,7,7,100,TURBID,0,0,0
56403,6,6,100,TURBID,0,0,0
56848,6,6,100,TURBID,0,0,0
57293,7,7,100,TURBID,0,0,0
57738,7,7,100,TURBID,0,0,0
58183,7,7,100,TURBID,0,0,0
58628,8,7,100,TURBID,0,0,0
59073,7,7,100,TURBID,0,0,0
59518,6,7,100,TURBID,0,0,0
59963,7,7,100,TURBID,0,0,0
60408,7,7,100,TURBID,0,0,0
60853,6,7,100,TURBID,0,0,0
61298,8,7,100,TURBID,0,0,0
61743,8,7,100,TURBID,0,0,0
62188,6,7,100,TURBID,0,0,0
62633,5,7,100,TURBID,0,0,0
63078,6,6,100,TURBID,0,0,0
63523,4,6,100,TURBID,0,0,0
63968,7,6,100,TURBID,0,0,0
64413,5,6,100,TURBID,0,0,0
64858,7,6,100,TURBID,0,0,0
65303,6,6,100,TURBID,0,0,0
65748,8,6,100,TURBID,0,0,0
66193,7,7,100,TURBID,0,0,0
66638,7,7,100,TURBID,0,0,0
67083,7,7,100,TURBID,0,0,0
67528,6,7,100,TURBID,0,0,0
67973,7,7,100,TURBID,0,0,0
68418,9,7,100,TURBID,0,0,0
68863,5,7,100,TURBID,0,0,0
69308,7,7,100,TURBID,0,0,0
69753,7,7,100,TURBID,0,0,0
70198,7,7,100,TURBID,0,0,0
70643,7,7,100,TURBID,0,0,0
71088,9,7,100,TURBID,0,0,0
71533,7,7,100,TURBID,0,0,0
71978,6,7,100,TURBID,0,0,0
72423,6,7,100,TURBID,0,0,0
72868,6,7,100,TURBID,0,0,0
73313,5,6,100,TURBID,0,0,0
73758,8,7,100,TURBID,0,0,0
74203,7,7,100,TURBID,0,0,0
74648,6,7,100,TURBID,0,0,0
75093,7,7,100,TURBID,0,0,0
75538,6,7,100,TURBID,0,0,0
75983,7,7,100,TURBID,0,0,0
76428,7,7,100,TURBID,0,0,0
76873,8,7,100,TURBID,0,0,0
77318,8,7,100,TURBID,0,0,0
77763,8,7,100,TURBID,0,0,0
78208,8,7,100,TURBID,0,0,0
78653,7,7,100,TURBID,0,0,0
79098,9,8,100,TURBID,0,0,0
79543,7,8,100,TURBID,0,0,0
79988,7,7,100,TURBID,0,0,0
80433,7,7,100,TURBID,0,0,0
80878,6,7,100,TURBID,0,0,0
81323,6,7,100,TURBID,0,0,0
81768,7,7,100,TURBID,0,0,0
82213,7,7,100,TURBID,0,0,0
82658,6,7,100,TURBID,0,0,0
83103,7,7,100,TURBID,0,0,0
83548,9,7,100,TURBID,0,0,0
83993,6,7,100,TURBID,0,0,0
84438,7,7,100,TURBID,0,0,0
84883,8,7,100,TURBID,0,0,0
85328,7,7,100,TURBID,0,0,0
85773,7,7,100,TURBID,0,0,0
86218,6,7,100,TURBID,0,0,0
86663,8,7,100,TURBID,0,0,0
87108,7,7,100,TURBID,0,0,0
87553,8,7,100,TURBID,0,0,0
87998,8,7,100,TURBID,0,0,0
88443,6,7,100,TURBID,0,0,0
88888,7,7,100,TURBID,0,0,0
89333,8,7,100,TURBID,0,0,0
89778,7,7,100,TURBID,0,0,0
90223,6,7,100,TURBID,0,0,0
90668,7,7,100,TURBID,0,0,0
91113,6,7,100,TURBID,0,0,0
91558,6,7,100,TURBID,0,0,0
92003,5,6,100,TURBID,0,0,0
92448,6,6,100,TURBID,0,0,0
92893,6,6,100,TURBID,0,0,0
93338,6,6,100,TURBID,0,0,0
93783,6,6,100,TURBID,0,0,0
94228,5,6,100,TURBID,0,0,0